First,Last,Action,Event ID,Event Name,Ticket Quantity,Ticket Type
Laurie,Johnson,Buy,42,UTEP Basketball 29,3,Gold
Joseph,Robinson,Buy,45,UTEP Wind Symphony 1,2,VIP
Mark,Lozano,Buy,37,UTEP Basketball 24,6,Silver
Victoria,Martin,Buy,20,UTEP Basketball 7,5,Silver
Patrick,Bennett,Buy,40,UTEP Basketball 27,4,Bronze
Jennifer,Jones,Buy,4,UTEP Football 4,4,General Admission
Victor,Harris,Buy,31,UTEP Basketball 18,5,Gold
Bungein,Cheng,Buy,13,UTEP Football 13,3,General Admission
Joshua,Hickman,Buy,27,UTEP Basketball 14,4,VIP
Jared,Scott,Buy,43,UTEP Basketball 30,2,General Admission
Carmen,Hays,Buy,1,UTEP Football 1,2,Bronze
Jorge,Haley,Buy,5,UTEP Football 5,2,Gold
April,Turner,Buy,7,UTEP Football 7,3,Gold
Amy,Morse,Buy,10,UTEP Football 10,2,Gold
Amber,Long,Buy,58,Drake Live,6,VIP
Joel,Arellano,Buy,37,UTEP Basketball 24,2,Silver
Javier,Vazquez,Buy,70,UTEP Commencement 2,3,Silver
Michele,Cummings,Buy,1,UTEP Football 1,3,VIP
Lisa,Jackson,Buy,53,UTEP Wind Symphony 9,4,Bronze
Joshua,Hickman,Buy,7,UTEP Football 7,4,Gold
Kenneth,House,Buy,53,UTEP Wind Symphony 9,4,Gold
Richard,Brown,Buy,70,UTEP Commencement 2,2,General Admission
Kelly,Jordan,Buy,21,UTEP Basketball 8,4,General Admission
Ryan,Peterson,Buy,70,UTEP Commencement 2,3,Silver
Nicole,Johnson,Buy,23,UTEP Basketball 10,5,Silver
Kristen,Martinez,Buy,19,UTEP Basketball 6,5,Gold
Joanna,Knight,Buy,67,ACL,5,Gold
Denise,Morales,Buy,4,UTEP Football 4,2,VIP
Brittney,Daniel,Buy,68,Minerpalooza,2,Bronze
Jennifer,Bailey,Buy,33,UTEP Basketball 20,4,Silver
Erik,Case,Buy,54,UTEP Wind Symphony 10,6,Gold
Kyle,Taylor,Buy,14,UTEP Basketball 1,2,Bronze
Paul,Salas,Buy,70,UTEP Commencement 2,3,General Admission
Jeff,Ray,Buy,34,UTEP Basketball 21,5,Gold
Kristina,Patrick,Buy,52,UTEP Wind Symphony 8,3,Gold
Lauren,Coleman,Buy,45,UTEP Wind Symphony 1,3,VIP
Darlene,Russell,Buy,70,UTEP Commencement 2,2,General Admission
Dennis,Cooper,Buy,51,UTEP Wind Symphony 7,6,Silver
Shannon,Avery,Buy,19,UTEP Basketball 6,3,VIP
Kylie,King,Buy,28,UTEP Basketball 15,3,Silver
Thomas,Hall,Buy,15,UTEP Basketball 2,5,General Admission
Beast,Disney,Buy,44,UTEP Basketball 31,6,Gold
Barbara,Lane,Buy,16,UTEP Basketball 3,3,Bronze
Amy,Fuller,Buy,27,UTEP Basketball 14,4,Silver
Minnie,Mouse,Buy,58,Drake Live,5,General Admission
Ariana,Lara,Buy,31,UTEP Basketball 18,5,Gold
Benjamin,Ramirez,Buy,46,UTEP Wind Symphony 2,3,VIP
Dennis,Reynolds,Buy,64,Justin Timberlake Live,2,Silver
Monica,Davenport,Buy,40,UTEP Basketball 27,4,Bronze
William,Hunter,Buy,51,UTEP Wind Symphony 7,5,General Admission
Tonya,Elliott,Buy,1,UTEP Football 1,6,General Admission
Deanna,Cummings,Buy,44,UTEP Basketball 31,3,VIP
John,Sanders,Buy,6,UTEP Football 6,6,VIP
Donald,Duck,Buy,13,UTEP Football 13,5,Silver
Natasha,Wheeler,Buy,64,Justin Timberlake Live,5,VIP
Kimberly,Johnson,Buy,2,UTEP Football 2,5,General Admission
Shane,Miller,Buy,2,UTEP Football 2,4,Silver
Michael,Sanchez,Buy,5,UTEP Football 5,3,Gold
Travis,Ruiz,Buy,22,UTEP Basketball 9,6,Bronze
Debra,Raymond,Buy,21,UTEP Basketball 8,4,Bronze
Salvador,Ruiz,Buy,27,UTEP Basketball 14,5,Bronze
Christopher,Johnson,Buy,59,Bad Bunny Live,2,VIP
Kathryn,Perez,Buy,56,UTEP Wind Symphony 12,4,VIP
Ursela,Mermaid,Buy,63,Shakira Live,5,General Admission
Rebecca,Brown,Buy,43,UTEP Basketball 30,4,Bronze
Sarah,Anderson,Buy,29,UTEP Basketball 16,5,Bronze
Anthony,Hardin,Buy,21,UTEP Basketball 8,6,Silver
Destiny,Ferguson,Buy,25,UTEP Basketball 12,5,Bronze
Ann,Rogers,Buy,20,UTEP Basketball 7,2,VIP
Nathan,Thompson,Buy,34,UTEP Basketball 21,2,Gold
Cesar,Alvarez,Buy,35,UTEP Basketball 22,3,Bronze
Misty,Jimenez,Buy,2,UTEP Football 2,2,Gold
Carlos,Lynch,Buy,30,UTEP Basketball 17,3,General Admission
Tyler,Baxter,Buy,23,UTEP Basketball 10,2,Silver
Jeffrey,Weiss,Buy,14,UTEP Basketball 1,4,Bronze
George,Proctor,Buy,23,UTEP Basketball 10,4,Silver
Kelly,Bell,Buy,40,UTEP Basketball 27,4,General Admission
Peggy,Murphy,Buy,15,UTEP Basketball 2,4,General Admission
Kelly,Herring,Buy,64,Justin Timberlake Live,5,Gold
