Tickets Purchased,ID,Last Name,Username,Money Available,TicketMiner Membership,First Name,Password
0,98,Zuany,zuanymaria,5593.13,false,Maria,Fun!23
0,187,Zimmerman,zimmermanrenee,4359.88,false,Renee,Fun!23
0,273,Zhang,zhangkaren,1646.09,false,Karen,Fun!23
0,165,Zamora,zamoraphilip,5347.49,true,Philip,Fun!23
0,231,Yu,yukelly,3371.79,false,Kelly,Fun!23
0,1031,Yu,yulisa,4842.31,false,Lisa,Fun!23
0,465,Young,youngtrevor,5846.34,true,Trevor,Fun!23
0,645,Young,youngcrystal,2946.94,false,Crystal,Fun!23
0,708,Young,youngjulia,5129.0,false,Julia,Fun!23
0,827,Young,youngmaria,3798.26,true,Maria,Fun!23
0,138,Wyatt,wyattpaula,3267.76,false,Paula,Fun!23
0,266,Wu,wurobert,4872.05,false,Robert,Fun!23
0,256,Wright,wrightchristopher,4748.17,false,Christopher,Fun!23
0,262,Wright,wrightdavid,4442.7,false,David,Fun!23
0,443,Woodward,woodwardraymond,1370.25,false,Raymond,Fun!23
0,474,Wood,woodgeorge,4748.45,false,George,Fun!23
0,489,Wood,woodmichelle,6442.21,false,Michelle,Fun!23
0,336,Wolfe,wolfejason,3846.49,true,Jason,Fun!23
0,364,Wolf,wolfwilliam,4680.47,true,William,Fun!23
0,97,Wittmann,wittmannzachary,6241.99,false,Zachary,Fun!23
0,879,Wise,wisebryan,6305.61,false,Bryan,Fun!23
0,173,Wilson,wilsonjustin,2182.89,true,Justin,Fun!23
0,333,Wilson,wilsoncheryl,2520.94,true,Cheryl,Fun!23
0,339,Wilson,wilsonjordan,1582.66,false,Jordan,Fun!23
0,367,Wilson,wilsonrobert,1951.45,true,Robert,Fun!23
0,574,Wilson,wilsoncorey,3081.38,true,Corey,Fun!23
0,855,Wilson,wilsonrobin,6112.9,false,Robin,Fun!23
0,859,Wilson,wilsonalexander,2594.37,true,Alexander,Fun!23
0,918,Wilson,wilsonkelly,3045.22,true,Kelly,Fun!23
0,383,Williamson,williamsonjeremiah,4767.08,false,Jeremiah,Fun!23
0,711,Williamson,williamsonwesley,4074.94,false,Wesley,Fun!23
0,841,Williamson,williamsonmichael,1155.35,true,Michael,Fun!23
0,102,Williams,williamsdana,1980.42,false,Dana,Fun!23
0,171,Williams,williamsjennifer,1182.72,true,Jennifer,Fun!23
0,285,Williams,williamsmichael,4631.38,true,Michael,Fun!23
0,350,Williams,williamsdenise,3742.32,true,Denise,Fun!23
0,394,Williams,williamsjacob,1963.79,true,Jacob,Fun!23
0,896,Williams,williamsstephanie,5427.97,true,Stephanie,Fun!23
0,1016,Williams,williamslaura,3358.22,false,Laura,Fun!23
0,454,Wilkins,wilkinsryan,5818.45,true,Ryan,Fun!23
0,777,Wilkerson,wilkersonbrandy,2100.55,false,Brandy,Fun!23
0,411,Wilcox,wilcoxashley,1233.58,false,Ashley,Fun!23
0,798,Whitney,whitneyhector,3025.17,true,Hector,Fun!23
0,193,White,whitemichael,3740.42,true,Michael,Fun!23
0,422,White,whitejohn,2655.83,true,John,Fun!23
0,610,White,whiteshannon,5010.31,true,Shannon,Fun!23
0,846,White,whitevictoria,3637.41,true,Victoria,Fun!23
0,356,Wheeler,wheelerchristina,4478.62,false,Christina,Fun!23
0,378,Wheeler,wheelernatasha,6252.71,false,Natasha,Fun!23
0,990,West,westsara,1468.5,true,Sara,Fun!23
0,570,Welch,welchjoel,1715.74,true,Joel,Fun!23
4,144,Weiss,weissjeffrey,3510.01,true,Jeffrey,Fun!23
0,331,Webster,websterlindsay,5313.04,true,Lindsay,Fun!23
0,517,Weaver,weavertami,4618.86,false,Tami,Fun!23
0,564,Weaver,weaverbrittany,6233.86,false,Brittany,Fun!23
0,740,Weaver,weaverallison,3261.25,false,Allison,Fun!23
0,96,Wawra,wawrawalter,5706.89,false,Walter,Fun!23
0,534,Watson,watsonrobin,3658.66,true,Robin,Fun!23
0,623,Watson,watsonvanessa,4453.05,true,Vanessa,Fun!23
0,924,Watson,watsonjames,1280.43,true,James,Fun!23
0,979,Waters,waterstammy,4360.49,true,Tammy,Fun!23
6,892,Washington,washingtonmark,5737.530000000001,true,Mark,Fun!23
0,964,Washington,washingtonryan,5166.79,false,Ryan,Fun!23
0,958,Wang,wangrobert,4942.75,false,Robert,Fun!23
0,270,Walters,waltersleroy,3271.18,false,Leroy,Fun!23
0,632,Walsh,walshmichelle,3248.86,true,Michelle,Fun!23
0,889,Wallace,wallacebrett,4589.46,false,Brett,Fun!23
0,126,Walker,walkercrystal,1359.19,false,Crystal,Fun!23
0,178,Walker,walkerchristina,2432.8,true,Christina,Fun!23
0,287,Walker,walkermario,2413.11,true,Mario,Fun!23
0,552,Walker,walkerangela,4773.1,false,Angela,Fun!23
0,681,Walker,walkerashley,1462.25,false,Ashley,Fun!23
0,968,Walker,walkermiranda,3137.89,false,Miranda,Fun!23
0,161,Wagner,wagnermarissa,2220.15,true,Marissa,Fun!23
0,223,Wagner,wagnerbridget,3256.39,false,Bridget,Fun!23
0,1034,Wagner,wagnertimothy,2532.12,true,Timothy,Fun!23
2,307,Villegas,villegasstephen,3100.98,true,Stephen,Fun!23
